order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,377,2020-11-30,366,1,297.22,297.22,Completed,2020-11-30
2,9361,2024-06-16,74,4,394.61,1578.44,Completed,2024-06-18
3,6069,2021-01-19,383,5,282.60,1413.00,Completed,2021-01-19
4,2155,2022-08-28,209,4,384.25,1537.00,Completed,2022-08-30
5,355,2020-01-15,490,3,54.35,163.05,Cancelled,
6,7136,2022-03-20,75,1,102.55,102.55,Completed,2022-03-22
7,5243,2024-08-13,219,1,97.28,97.28,Pending,
8,8215,2025-11-15,205,5,34.81,174.05,Completed,2025-11-15
9,7905,2021-09-13,113,1,186.72,186.72,Pending,
10,3181,2023-03-27,377,1,487.94,487.94,Completed,2023-03-29
11,2937,2021-05-23,210,4,96.97,387.88,Cancelled,
12,2393,2023-03-20,204,5,413.59,2067.95,Pending,
13,4995,2022-05-06,113,4,186.72,746.88,Cancelled,
14,2277,2025-01-30,124,4,120.33,481.32,Pending,
15,7822,2020-03-23,467,4,439.37,1757.48,Completed,2020-03-25
16,3722,2023-06-14,334,3,210.49,631.47,Cancelled,
17,2631,2024-09-24,337,5,219.60,1098.00,Completed,2024-09-26
18,7784,2021-04-08,187,5,370.63,1853.15,Completed,2021-04-09
19,4714,2025-02-09,391,5,206.52,1032.60,Completed,2025-02-09
20,2328,2021-05-14,296,2,466.38,932.76,Pending,
21,6292,2023-06-04,244,1,273.99,273.99,Cancelled,
22,8128,2022-12-12,294,5,286.71,1433.55,Completed,2022-12-12
23,1626,2023-01-28,469,4,286.74,1146.96,Completed,2023-01-31
24,2827,2023-05-30,247,3,155.35,466.05,Completed,2023-06-01
25,4445,2022-11-10,138,3,124.51,373.53,Pending,
26,721,2023-07-16,232,1,231.29,231.29,Completed,2023-07-18
27,7566,2024-06-29,88,4,10.07,40.28,Completed,2024-07-02
28,2785,2021-04-19,250,3,370.88,1112.64,Completed,2021-04-20
29,3530,2020-10-25,242,3,140.47,421.41,Completed,2020-10-25
30,1774,2021-11-12,179,5,472.68,2363.40,Completed,2021-11-12
31,2238,2020-11-18,185,2,99.25,198.50,Completed,2020-11-20
32,9559,2024-01-04,451,4,440.08,1760.32,Completed,2024-01-05
33,3571,2025-10-07,72,1,193.69,193.69,Pending,
34,6294,2023-02-19,24,3,142.96,428.88,Completed,2023-02-19
35,6872,2025-03-20,15,1,315.16,315.16,Completed,2025-03-20
36,8565,2020-05-16,467,2,439.37,878.74,Pending,
37,2979,2021-11-16,51,2,103.80,207.60,Completed,2021-11-19
38,7466,2022-11-27,282,4,66.70,266.80,Completed,2022-11-28
39,5982,2020-03-20,206,4,18.67,74.68,Completed,2020-03-22
40,9782,2022-09-28,179,5,472.68,2363.40,Completed,2022-09-30
41,2180,2020-08-02,404,5,322.60,1613.00,Completed,2020-08-04
42,8260,2025-02-14,415,5,240.44,1202.20,Completed,2025-02-17
43,2000,2024-11-09,193,3,205.64,616.92,Completed,2024-11-10
44,5150,2022-12-03,10,5,260.23,1301.15,Cancelled,
45,8962,2023-11-27,384,3,110.53,331.59,Pending,
46,3190,2021-04-26,443,3,321.50,964.50,Completed,2021-04-28
47,1153,2024-03-24,473,4,56.70,226.80,Completed,2024-03-26
48,7141,2020-06-12,379,4,447.60,1790.40,Completed,2020-06-12
49,6570,2023-12-13,297,4,242.73,970.92,Completed,2023-12-13
50,4952,2020-08-25,299,5,248.24,1241.20,Pending,
51,501,2020-08-03,325,2,441.11,882.22,Completed,2020-08-05
52,1931,2021-12-16,319,4,399.09,1596.36,Completed,2021-12-19
53,4957,2024-01-14,104,4,279.17,1116.68,Completed,2024-01-16
54,7178,2021-03-20,362,3,304.93,914.79,Pending,
55,8682,2023-10-08,31,3,313.73,941.19,Cancelled,
56,4464,2021-02-17,135,1,31.64,31.64,Completed,2021-02-18
57,673,2023-05-13,230,1,431.66,431.66,Completed,2023-05-15
58,2520,2023-05-12,195,3,230.67,692.01,Completed,2023-05-13
59,7497,2022-06-05,20,2,125.97,251.94,Completed,2022-06-07
60,5174,2020-12-25,489,1,90.37,90.37,Pending,
61,7170,2021-02-05,392,5,390.90,1954.50,Completed,2021-02-06
62,740,2024-09-19,385,1,439.58,439.58,Completed,2024-09-22
63,4369,2025-05-23,,5,217.15,1085.75,Completed,2025-05-25
64,8132,2025-04-04,135,5,31.64,158.20,Completed,2025-04-07
65,7874,2024-03-01,124,1,120.33,120.33,Completed,2024-03-02
66,4687,2023-03-18,86,3,490.27,1470.81,Pending,
67,6128,2025-03-06,173,3,218.62,655.86,Completed,2025-03-07
68,7512,2020-09-15,364,5,81.58,407.90,Completed,2020-09-17
69,7897,2020-03-12,209,2,384.25,768.50,Completed,2020-03-13
70,6843,2025-12-18,363,1,434.45,434.45,Completed,2025-12-21
71,9914,2021-09-14,57,5,123.73,618.65,Completed,2021-09-17
72,3110,2021-02-28,80,4,378.67,1514.68,Completed,2021-03-01
73,8450,2023-07-31,178,1,278.70,278.70,Completed,2023-07-31
74,6151,2023-08-11,13,5,134.80,674.00,Completed,2023-08-11
75,2076,2021-12-16,100,1,453.88,453.88,Completed,2021-12-19
76,310,2024-07-21,188,1,232.84,232.84,Cancelled,
77,9961,2024-02-01,157,2,406.73,813.46,Completed,2024-02-02
78,8868,2021-07-25,346,1,32.13,32.13,Completed,2021-07-27
79,6304,2021-07-28,442,1,458.22,458.22,Cancelled,
80,3050,2022-11-12,354,2,351.52,703.04,Pending,
81,1448,2025-11-07,324,3,197.74,593.22,Completed,2025-11-09
82,4809,2022-02-12,117,1,430.74,430.74,Completed,2022-02-12
83,9430,2024-10-28,218,1,94.83,94.83,Completed,2024-10-31
84,4018,2020-03-04,121,2,140.87,281.74,Cancelled,
