product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Compact Towel 001,Sports,454.36,276.83,940,78
2,Compact Gym Bag 002,Sports,418.61,351.17,583,67
3,Compact Speaker 003,Electronics,486.86,248.51,950,74
4,Premium Pen Set 004,Office,272.52,90.84,528,74
5,Premium Planner 005,Office,367.48,224.14,441,53
6,Premium Webcam 006,Electronics,209.00,164.55,438,39
7,Modern Notebook 007,Office,52.50,48.31,625,95
8,Classic Monitor 008,Electronics,182.72,117.25,215,23
9,Modern Desk Organizer 009,Office,22.69,11.61,607,27
10,Essential Yoga Mat 010,Sports,260.23,169.96,85,89
11,Compact Speaker 011,Electronics,447.40,140.87,738,1
12,Essential Novel 012,Books,397.25,345.27,805,56
13,Essential Cookbook 013,Books,134.80,122.14,978,66
14,Classic Yoga Mat 014,Sports,250.74,242.36,799,88
15,Compact Travel Guide 015,Books,315.16,164.29,537,64
16,Premium Travel Guide 016,Books,32.82,8.36,784,86
17,Compact Stapler 017,Office,23.90,21.22,753,62
18,Premium Desk Organizer 018,Office,438.14,400.64,217,20
19,Premium Water Bottle 019,Sports,52.96,43.61,435,93
20,Essential Keyboard 020,Electronics,125.97,78.34,830,34
21,Essential Notebook 021,Office,480.81,410.61,395,56
22,Compact Water Bottle 022,Sports,125.73,37.45,195,48
23,Modern Towel 023,Sports,409.19,352.88,232,3
24,Compact Novel 024,Books,142.96,91.29,242,54
25,Modern Pen Set 025,Office,78.80,66.23,37,27
26,Modern Monitor 026,Electronics,66.11,45.60,677,95
27,Essential Notebook 027,Office,450.48,302.55,200,87
28,Essential Lamp 028,Home,380.63,283.19,825,63
29,Classic Cookware Set 029,Home,240.17,136.33,311,79
30,Classic Pen Set 030,Office,455.31,364.20,639,23
31,Classic Storage Box 031,Home,313.73,161.97,17,11
32,Essential Storage Box 032,Home,467.83,229.88,361,21
33,Classic Gym Bag 033,Sports,276.24,106.33,990,10
34,Modern Monitor 034,Electronics,347.64,115.61,154,21
35,Compact Towel Set 035,Home,42.85,25.53,14,66
36,Compact Towel 036,Sports,149.86,77.32,338,88
37,Compact Towel Set 037,Home,278.45,193.44,944,37
38,Compact Towel 038,Sports,195.01,105.99,236,56
39,Premium Gym Bag 039,Sports,308.46,304.45,170,99
40,Essential Water Bottle 040,Sports,478.34,199.25,729,53
41,Compact Towel 041,Sports,69.82,34.28,883,88
42,Classic Vase 042,Home,385.73,324.36,304,93
43,Premium Speaker 043,Electronics,36.86,23.64,620,25
44,Modern Data Handbook 044,Books,84.85,31.03,889,77
45,Essential Novel 045,Books,11.67,10.49,934,20
46,Classic Pen Set 046,Office,22.59,14.87,266,3
47,Modern Stapler 047,Office,374.20,270.43,616,40
48,Compact Cookware Set 048,Home,259.87,161.96,857,59
49,Premium Lamp 049,Home,39.88,34.88,752,7
50,Classic Travel Guide 050,Books,144.03,77.60,92,74
51,Premium Keyboard 051,Electronics,103.80,42.88,644,96
52,Premium Yoga Mat 052,Sports,43.70,39.08,447,6
53,Premium Resistance Band 053,Sports,429.60,141.31,642,82
54,Modern Business Guide 054,Books,179.15,85.61,841,98
55,Modern Yoga Mat 055,Sports,360.74,244.27,776,93
56,Essential Water Bottle 056,Sports,87.31,67.16,487,99
57,Modern Yoga Mat 057,Sports,123.73,112.47,791,73
58,Compact Headphones 058,Electronics,199.46,158.02,657,7
59,Classic Lamp 059,Home,119.76,95.81,396,44
60,Essential Stapler 060,Office,6.36,5.20,201,34
61,Premium Headphones 061,Electronics,352.44,160.03,922,64
62,Premium Cookbook 062,Books,47.48,42.02,880,53
63,Essential Storage Box 063,Home,420.21,138.13,786,92
64,Classic Notebook 064,Office,94.81,24.51,530,1
65,Compact Pen Set 065,Office,247.12,168.33,623,71
66,Compact Keyboard 066,Electronics,152.37,148.88,432,42
67,Compact Cookbook 067,Books,451.51,334.88,520,83
68,Classic Novel 068,Books,279.87,219.17,968,1
69,Premium Planner 069,Office,68.13,57.45,920,22
70,Compact Monitor 070,Electronics,263.62,219.06,566,23
71,Essential Webcam 071,Electronics,436.42,346.82,189,94
72,Essential Water Bottle 072,Sports,193.69,132.61,855,97
73,Premium Monitor 073,Electronics,6.46,4.66,750,31
74,Classic Speaker 074,Electronics,394.61,225.84,224,7
75,Essential Stapler 075,Office,102.55,35.21,188,67
76,Classic Notebook 076,Office,156.11,147.12,739,40
77,Essential Webcam 077,Electronics,219.05,212.17,470,16
78,Premium Lamp 078,Home,360.93,121.48,229,98
79,Compact Speaker 079,Electronics,197.17,95.20,174,17
80,Modern Resistance Band 080,Sports,378.67,316.25,152,61
81,Modern Gym Bag 081,Sports,291.82,283.23,483,86
82,Classic Cookbook 082,Books,359.87,210.11,559,44
83,Compact Business Guide 083,Books,220.66,184.10,943,27
84,Essential Headphones 084,Electronics,357.71,268.66,617,42
85,Modern Cookware Set 085,Home,90.25,63.94,885,88
86,Compact Stapler 086,Office,490.27,290.45,518,82
87,Compact Data Handbook 087,Books,259.07,133.67,368,53
88,Premium Lamp 088,Home,10.07,4.18,730,73
89,Essential Headphones 089,Electronics,436.05,276.25,928,93
90,Essential Keyboard 090,Electronics,31.35,27.62,477,56
91,Modern Water Bottle 091,Sports,139.87,80.16,267,91
92,Classic Travel Guide 092,Books,46.54,31.37,484,15
93,Classic Headphones 093,Electronics,78.84,78.54,402,47
94,Modern Cookbook 094,Books,74.11,22.19,453,58
95,Premium Planner 095,Office,442.54,121.87,321,17
96,Modern Towel 096,Sports,333.36,218.46,950,40
97,Essential Lamp 097,Home,148.20,88.32,323,1
98,Modern Towel 098,Sports,242.84,152.10,291,2
99,Essential Business Guide 099,Books,375.09,159.33,710,48
100,Classic Desk Organizer 100,Office,453.88,183.35,237,52
101,Compact Keyboard 101,Electronics,265.05,209.28,423,79
102,Classic Travel Guide 102,Books,43.45,21.20,611,71
103,Premium Keyboard 103,Electronics,79.93,24.67,318,59
104,Compact Desk Organizer 104,Office,279.17,257.59,693,62
105,Premium Stapler 105,Office,288.68,115.49,714,80
106,Compact Desk Organizer 106,Office,172.61,79.42,999,33
107,Modern Data Handbook 107,Books,230.19,58.32,719,81
108,Compact Speaker 108,Electronics,10.88,7.66,402,64
109,Essential Travel Guide 109,Books,113.44,79.36,992,60
110,Essential Headphones 110,Electronics,459.22,313.63,6,64
111,Modern Notebook 111,Office,280.26,280.16,844,62
112,Modern Gym Bag 112,Sports,28.66,10.81,318,73
113,Classic Novel 113,Books,186.72,144.13,263,65
114,Premium Storage Box 114,Home,375.86,171.77,124,12
115,Premium Travel Guide 115,Books,303.82,193.73,542,86
116,Classic Planner 116,Office,298.11,267.80,972,82
117,Premium Towel 117,Sports,430.74,394.65,171,8
118,Compact Stapler 118,Office,136.08,96.62,218,36
119,Essential Yoga Mat 119,Sports,427.87,319.59,841,88
120,Essential Resistance Band 120,Sports,32.44,17.12,85,24
121,Compact Travel Guide 121,Books,140.87,46.52,809,72
122,Premium Water Bottle 122,Sports,441.20,157.73,969,19
123,Compact Resistance Band 123,Sports,427.44,360.27,436,50
124,Classic Pen Set 124,Office,120.33,51.40,311,87
125,Classic Water Bottle 125,Sports,253.23,143.57,690,15
126,Premium Notebook 126,Office,314.20,221.14,686,97
127,Premium Yoga Mat 127,Sports,272.36,140.38,835,91
128,Premium Planner 128,Office,7.10,5.62,303,6
129,Compact Vase 129,Home,320.59,201.47,68,70
130,Premium Webcam 130,Electronics,411.88,308.11,954,18
131,Essential Headphones 131,Electronics,84.12,36.59,464,72
132,Classic Webcam 132,Electronics,267.28,185.97,504,17
133,Essential Speaker 133,Electronics,83.57,43.18,411,16
134,Classic Headphones 134,Electronics,89.56,43.32,382,44
135,Compact Yoga Mat 135,Sports,31.64,25.87,653,86
136,Compact Resistance Band 136,Sports,97.10,32.30,442,43
137,Essential Webcam 137,Electronics,186.55,79.27,299,39
138,Compact Towel Set 138,Home,124.51,34.80,6,88
139,Premium Vase 139,Home,436.25,317.63,579,19
140,Modern Notebook 140,Office,389.93,124.42,842,80
141,Premium Desk Organizer 141,Office,139.79,46.91,350,38
142,Classic Data Handbook 142,Books,70.39,38.49,325,16
143,Compact Resistance Band 143,Sports,353.54,102.54,47,95
144,Compact Cookbook 144,Books,290.53,96.65,119,84
145,Essential Data Handbook 145,Books,414.82,261.95,592,52
146,Premium Towel 146,Sports,7.97,3.91,729,41
147,Essential Data Handbook 147,Books,98.03,88.67,775,100
148,Essential Speaker 148,Electronics,39.56,13.69,954,25
149,Classic Resistance Band 149,Sports,264.09,183.66,701,47
150,Essential Yoga Mat 150,Sports,357.62,305.51,73,20
151,Modern Water Bottle 151,Sports,234.04,62.64,377,4
152,Essential Keyboard 152,Electronics,178.63,150.75,163,23
153,Modern Stapler 153,Office,418.35,243.46,491,44
154,Essential Storage Box 154,Home,289.37,252.09,813,63
155,Essential Speaker 155,Electronics,253.34,236.28,70,63
156,Essential Pen Set 156,Office,417.63,408.23,141,62
157,Modern Storage Box 157,Home,406.73,213.24,226,31
158,Premium Planner 158,Office,424.14,270.39,685,4
159,Modern Pen Set 159,Office,318.83,294.35,635,35
160,Classic Resistance Band 160,Sports,209.86,148.68,241,2
